Province/State;Country/Region;Lat;Long;Date;Confirmed;Recovered;Deaths
;Poland;51.9194;19.1451;12.02.2020;0;0;0
;Poland;51.9194;19.1451;13.02.2020;0;0;0
;Poland;51.9194;19.1451;14.02.2020;0;0;0
;Poland;51.9194;19.1451;15.02.2020;0;0;0
;Poland;51.9194;19.1451;16.02.2020;0;0;0
;Poland;51.9194;19.1451;17.02.2020;0;0;0
;Poland;51.9194;19.1451;18.02.2020;0;0;0
;Poland;51.9194;19.1451;19.02.2020;0;0;0
;Poland;51.9194;19.1451;20.02.2020;0;0;0
;Poland;51.9194;19.1451;21.02.2020;0;0;0
;Poland;51.9194;19.1451;22.02.2020;0;0;0
;Poland;51.9194;19.1451;23.02.2020;0;0;0
;Poland;51.9194;19.1451;24.02.2020;0;0;0
;Poland;51.9194;19.1451;25.02.2020;0;0;0
;Poland;51.9194;19.1451;26.02.2020;0;0;0
;Poland;51.9194;19.1451;27.02.2020;0;0;0
;Poland;51.9194;19.1451;28.02.2020;0;0;0
;Poland;51.9194;19.1451;29.02.2020;0;0;0
;Poland;51.9194;19.1451;01.03.2020;0;0;0
;Poland;51.9194;19.1451;02.03.2020;0;0;0
;Poland;51.9194;19.1451;03.03.2020;0;0;0
;Poland;51.9194;19.1451;04.03.2020;1;0;0
;Poland;51.9194;19.1451;05.03.2020;1;0;0
